Transaction ID,Date,Month,Quarter,Year,Region,Country,City,Business Unit,Department,Product Category,Product Name,Customer Segment,Sales Channel,Revenue,Cost of Goods Sold (COGS),Operating Expense,Marketing Expense,Discount,Tax,Profit,Profit Margin,Budget,Actual Sales,Gross Profit,Operating Profit,Gross Margin,Budget Variance,Budget Utilization,Total Expense,Cost Ratio
TXN-10001,2023-01-01,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Marketing,Software Services,Cybershield Security,Mid-Market,Partner Channel,41674.99,11569.83,6718.11,4064.2,5005.9,3025.09,16297.76,39.11,37828.5,41674.99,30105.16,19322.85,72.24,3846.49,110.17,25377.23,60.89
TXN-10002,2023-01-01,January,Q1,2023,Europe,UK,London,Enterprise Solutions,Customer Support,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Reseller Network,29012.19,11548.17,2966.92,1455.99,3403.28,2563.04,10478.07,36.12,27759.25,29012.19,17464.02,13041.11,60.2,1252.94,104.51,18534.12,63.88
TXN-10003,2023-01-01,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Operations,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,12547.35,4814.23,1637.0,641.48,412.14,839.9,4614.74,36.78,11237.81,12547.35,7733.12,5454.64,61.63,1309.54,111.65,7932.61,63.22
TXN-10004,2023-01-01,January,Q1,2023,Europe,Netherlands,Amsterdam,Financial Services,Operations,Software Services,Ai Analytics Platform,SMB,Partner Channel,39738.5,8246.51,5468.4,2799.46,110.56,3967.83,19256.3,48.46,38305.74,39738.5,31491.99,23224.13,79.25,1432.76,103.74,20482.2,51.54
TXN-10005,2023-01-01,January,Q1,2023,North America,USA,New York,Financial Services,Marketing,Electronics,Wireless Headset Pro,Enterprise,Reseller Network,7342.53,4829.93,845.91,724.28,296.5,208.11,734.3,10.0,8017.69,7342.53,2512.6,942.41,34.22,-675.16,91.58,6608.23,90.0
TXN-10006,2023-01-01,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Enterprise Solutions,Engineering,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,54278.11,23165.93,7361.93,5607.96,810.03,3854.1,14288.19,26.32,56563.73,54278.11,31112.18,18142.29,57.32,-2285.62,95.96,39989.92,73.68
TXN-10007,2023-01-01,January,Q1,2023,North America,USA,Chicago,Digital Services,Sales,Software Services,Ai Analytics Platform,Enterprise,Direct Sales,35501.4,6692.8,5451.29,3393.33,423.97,3257.29,16706.69,47.06,36262.92,35501.4,28808.6,19963.98,81.15,-761.52,97.9,18794.71,52.94
TXN-10008,2023-01-01,January,Q1,2023,Asia Pacific,Japan,Tokyo,Enterprise Solutions,Operations,Software Services,Saas Erp License,Consumer,Online Store,37699.93,8526.5,6013.17,4314.15,5032.75,3672.76,15173.35,40.25,35856.46,37699.93,29173.43,18846.11,77.38,1843.47,105.14,22526.58,59.75
TXN-10009,2023-01-01,January,Q1,2023,Europe,Germany,Frankfurt,Digital Services,Engineering,Hardware Systems,Edge Compute Node,SMB,Reseller Network,41096.5,20679.22,8359.56,2216.84,3833.58,994.73,8846.15,21.53,40105.32,41096.5,20417.28,9840.88,49.68,991.18,102.47,32250.35,78.47
TXN-10010,2023-01-01,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Financial Services,Marketing,Hardware Systems,Server Rack X1,Enterprise,Direct Sales,57035.38,31970.98,10303.45,2427.97,1141.27,2194.03,10138.95,17.78,53098.17,57035.38,25064.4,12332.98,43.95,3937.21,107.41,46896.43,82.22
TXN-10011,2023-01-01,January,Q1,2023,Latin America,Mexico,Mexico City,Financial Services,Engineering,Electronics,Smart Hub Pro,Mid-Market,Partner Channel,3720.75,2432.17,696.27,242.44,462.62,83.13,266.74,7.17,3621.74,3720.75,1288.58,349.87,34.63,99.01,102.73,3454.01,92.83
TXN-10012,2023-01-01,January,Q1,2023,Europe,France,Paris,Financial Services,Operations,Software Services,Cloud Database Engine,Enterprise,Online Store,42729.37,11042.86,7808.23,5018.68,5120.3,2236.5,16623.1,38.9,41166.86,42729.37,31686.51,18859.6,74.16,1562.51,103.8,26106.27,61.1
TXN-10013,2023-01-01,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Enterprise Solutions,Marketing,Software Services,Cloud Database Engine,Mid-Market,Reseller Network,17956.21,4078.09,3691.11,1228.59,294.29,1781.64,7176.78,39.97,17906.4,17956.21,13878.12,8958.42,77.29,49.81,100.28,10779.43,60.03
TXN-10014,2023-01-01,January,Q1,2023,Europe,France,Paris,Digital Services,Marketing,Professional Consulting,24/7 Premium Support,Enterprise,Partner Channel,23086.41,10535.42,2699.43,2233.52,2959.33,1463.8,6154.24,26.66,20415.1,23086.41,12550.99,7618.04,54.37,2671.31,113.08,16932.17,73.34
TXN-10015,2023-01-02,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Sales,Software Services,Ai Analytics Platform,Enterprise,Partner Channel,27220.36,6900.23,5895.06,1271.04,3679.75,1335.91,11818.12,43.42,26521.07,27220.36,20320.13,13154.03,74.65,699.29,102.64,15402.24,56.58
